19.06.2025; 03:29; Start Datenerfassung

Zeit	Ausgangsspannung Br�ckenverst�rker
[s]	[V]
0,000	-0,052532
0,209	-0,053190
0,418	-0,051546
0,626	-0,052861
0,834	-0,051875
1,043	-0,051546
1,251	-0,052532
1,459	-0,053519
1,668	-0,054506
1,877	-0,053848
2,085	-0,054177
2,294	-0,053190
2,502	-0,055163
2,710	-0,051546
2,918	-0,053848
3,126	-0,056808
3,333	-0,052861
3,541	-0,054506
3,750	-0,053848
3,959	-0,055492
4,167	-0,054506
4,376	-0,055163
4,584	-0,055492
4,793	-0,054506
5,001	-0,055163
5,209	-0,057137
5,418	-0,057137
5,626	-0,054835
5,834	-0,057466
6,043	-0,057466
6,251	-0,055492
6,459	-0,055163
6,667	-0,057466
6,875	-0,057137
7,083	-0,056479
7,291	-0,056808
7,499	-0,057794
7,707	-0,057794
7,916	-0,057137
8,125	-0,057137
8,333	-0,057137
8,542	-0,059439
8,750	-0,057794
8,959	-0,057466
9,168	-0,056479
9,377	-0,057137
9,585	-0,056150
9,793	-0,056808
10,001	-0,058781
10,210	-0,057466
10,419	-0,059110
10,627	-0,057466
10,835	-0,058452
11,044	-0,058123
11,252	-0,058452
11,460	-0,060426
11,669	-0,058123
11,877	-0,059110
12,085	-0,057794
12,293	-0,057794
12,501	-0,060754
12,710	-0,056808
12,919	-0,059768
13,128	-0,058781
13,336	-0,057794
13,545	-0,059768
13,754	-0,060097
13,962	-0,060426
14,171	-0,060426
14,379	-0,058452
14,587	-0,061412
14,795	-0,059768
15,003	-0,061741
15,211	-0,061083
15,419	-0,059439
15,627	-0,061412
15,835	-0,060754
16,043	-0,059439
16,251	-0,061083
16,459	-0,059768
16,667	-0,059110
16,876	-0,060097
17,085	-0,060426
17,293	-0,061741
17,502	-0,061412
17,710	-0,060754
17,918	-0,062399
18,126	-0,063385
18,334	-0,061083
18,543	-0,063057
18,752	-0,060754
18,960	-0,062070
19,169	-0,020302
19,377	0,439471
19,585	0,826561
19,794	0,935091
20,002	0,966335
20,210	0,955811
20,418	0,949562
20,626	0,949891
20,834	0,948904
21,042	0,950548
21,250	0,951535
21,458	0,949233
21,666	0,949562
21,874	0,950220
22,083	0,950220
22,292	0,953180
22,501	0,950877
22,709	0,949562
22,917	0,950877
23,125	0,948575
23,333	0,949891
23,542	0,949891
23,750	0,949891
23,958	0,949562
24,167	0,949562
24,376	0,949562
24,585	0,950548
24,793	0,950548
25,001	0,950220
25,210	0,950220
25,418	0,947260
25,626	0,949233
25,834	0,951206
26,042	0,948904
26,250	0,956797
26,459	0,453612
26,667	-0,059439
26,875	-0,061083
27,083	-0,064043
27,291	-0,064701
27,499	-0,062728
27,708	-0,065688
27,916	-0,064043
28,124	-0,065030
28,332	-0,065688
28,540	-0,067332
28,748	-0,063714
28,956	-0,064701
29,164	-0,066345
29,372	-0,066674
29,580	-0,064372
29,789	-0,065688
29,997	-0,068319
30,205	-0,066674
30,413	-0,067003
30,621	-0,067661
30,830	-0,067661
31,039	-0,067990
31,247	-0,068976
31,455	-0,068647
31,664	-0,067990
31,873	-0,068647
32,081	-0,068647
32,289	-0,067332
32,497	-0,069305
32,705	-0,068976
32,913	-0,069963
33,121	-0,066345
33,329	-0,068319
33,537	-0,068647
33,746	-0,068647
33,955	-0,069305
34,163	-0,067990
34,372	-0,069305
34,581	-0,070292
34,790	-0,065688
34,999	-0,065359
35,209	0,000417
35,417	0,507877
35,625	0,911083
35,833	0,953837
36,042	0,946931
36,250	0,944629
36,459	0,941669
36,667	0,941669
36,876	0,941669
37,084	0,940353
37,292	0,942327
37,500	0,941011
37,708	0,940682
37,916	0,941340
38,124	0,941669
38,332	0,941340
38,541	0,941340
38,749	0,941998
38,958	0,941998
39,167	0,939367
39,376	0,940353
39,584	0,939695
39,793	0,940353
40,001	0,943313
40,209	0,940024
40,417	0,939695
40,625	0,939695
40,833	0,939695
41,042	0,942327
41,250	0,941669
41,459	0,940353
41,667	0,939367
41,875	0,941011
42,083	0,940024
42,292	0,939367
42,500	0,939038
42,709	0,939038
42,916	0,938709
43,124	0,938709
43,332	0,940024
43,540	0,938380
43,748	0,938380
43,957	0,942984
44,165	0,648638
44,373	0,016203
44,581	-0,071279
44,789	-0,071607
44,998	-0,069963
45,208	-0,071936
45,416	-0,072265
45,624	-0,071936
45,833	-0,072594
46,041	-0,073910
46,249	-0,073252
46,457	-0,072923
46,665	-0,073252
46,873	-0,073252
47,082	-0,072923
47,290	-0,074896
47,498	-0,073252
47,706	-0,075225
47,915	-0,075225
48,124	-0,074238
48,332	-0,074238
48,540	-0,074896
48,748	-0,073252
48,957	-0,072265
49,166	-0,073910
49,374	-0,074896
49,582	-0,078185
49,790	-0,074567
49,999	-0,075225
50,207	-0,075883
50,415	-0,074896
50,623	-0,075883
50,831	-0,075883
51,039	-0,075883
51,247	-0,074896
51,455	-0,074567
51,664	-0,076541
51,872	-0,074567
52,081	-0,075883
52,290	-0,076869
52,498	-0,058781
52,706	-0,014054
52,914	0,440786
53,122	0,862080
